ID;Rol;Modulo;Prueba;Resultado esperado;Estado;Usuario de prueba;Evidencia;Notas
R01;Administrador;Dashboard;Ingresar a /Dashboard;Acceso permitido;Pendiente;;; 
R02;Administrador;Incidencias;Ver listado crear editar eliminar;Todo permitido;Pendiente;;; 
R03;Administrador;Calendario;Ver calendario cambiar mes y filtros SLA/Tecnico;Todo permitido;Pendiente;;; 
R04;Administrador;Reportes;Ver filtrar exportar Excel/PDF;Todo permitido;Pendiente;;; 
R05;Administrador;Usuarios;Ver crear editar activar/desactivar;Todo permitido;Pendiente;;; 
R06;Tecnico IT;Dashboard;Ingresar a /Dashboard;Acceso permitido;Pendiente;;; 
R07;Tecnico IT;Incidencias;Crear y editar ticket;Permitido;Pendiente;;; 
R08;Tecnico IT;Incidencias;Intentar eliminar ticket /Tickets/Delete/{id};Denegado 403/AccessDenied;Pendiente;;; 
R09;Tecnico IT;Incidencias;Editar ticket con fecha SLA ya asignada y guardar;No debe cambiar fecha de atencion/SLA;Pendiente;;; 
R10;Tecnico IT;Usuarios;Entrar a /Users;Solo lectura sin crear/editar/desactivar;Pendiente;;; 
R11;Usuario Final;Dashboard;Ingresar a /Dashboard;Acceso permitido;Pendiente;;; 
R12;Usuario Final;Incidencias;Crear ticket;Permitido;Pendiente;;; 
R13;Usuario Final;Incidencias;Intentar editar/eliminar por URL directa;Denegado 403/AccessDenied;Pendiente;;; 
R14;Usuario Final;Usuarios;Entrar a /Users;Denegado 403/AccessDenied;Pendiente;;; 
R15;Usuario Final;Calendario;Ver y mover filtros/mes;Permitido;Pendiente;;; 
R16;Usuario Final;Reportes;Ver filtrar y exportar;Permitido;Pendiente;;; 
R17;Gerencia General;Dashboard;Ingresar a /Dashboard;Acceso permitido;Pendiente;;; 
R18;Gerencia General;Incidencias;Crear ticket;Permitido;Pendiente;;; 
R19;Gerencia General;Incidencias;Intentar editar/eliminar por URL directa;Denegado 403/AccessDenied;Pendiente;;; 
R20;Gerencia General;Usuarios;Entrar a /Users;Solo lectura sin crear/editar/desactivar;Pendiente;;; 
R21;Gerencia General;Calendario;Ver y usar filtros;Permitido;Pendiente;;; 
R22;Gerencia General;Reportes;Ver filtrar y exportar;Permitido;Pendiente;;; 
U01;Tecnico IT;Seguridad URL;Entrar a /Users/Create;Denegado;Pendiente;;; 
U02;Tecnico IT;Seguridad URL;Entrar a /Users/Edit/1;Denegado;Pendiente;;; 
U03;Usuario Final;Seguridad URL;Entrar a /Users;Denegado;Pendiente;;; 
U04;Gerencia General;Seguridad URL;Entrar a /Users/Edit/1;Denegado;Pendiente;;; 
U05;Usuario Final;Seguridad URL;Entrar a /Tickets/Edit/1;Denegado;Pendiente;;; 
U06;Gerencia General;Seguridad URL;Entrar a /Tickets/Delete/1;Denegado;Pendiente;;; 
